title,authors,abstract,year,url
Op koers blijven als zijinstromer,Lectoren en onderzoekers,"Op koers blijven als zijinstromer
kwaliteitsvolle aanvangsbegeleiding in het basisonderwijs
Step, I. (Student); Leeuw, H.
Download Bestand

Open access
Samenvatting

Om het lerarentekort in Vlaanderen aan te pakken, wordt steeds vaker ingezet op zijinstromers: volwassenen die na een eerdere loopbaan de overstap maken naar het onderwijs. Deze groep blijkt echter kwetsbaar: velen verlaten het beroep al binnen het eerste jaar. Dit praktijkgericht onderzoek verkent hoe kwaliteitsvolle aanvangsbegeleiding kan bijdragen aan het verminderen van uitval bij zijinstromers in het basisonderwijs. Via een meervoudige casestudie in vier basisscholen werden interviews afgenomen bij zijinstromers, aanvangsbegeleiders, mentoren en schoolleiders. Een praatplaat met helpende factoren vormde daarbij de leidraad voor analyse en gesprek. De resultaten tonen aan dat informeel leren binnen het team, een warm onthaal en begeleiding op maat cruciaal zijn. Teamteaching wordt wisselend ervaren, terwijl peercontact, afstemming met de lerarenopleiding en het gebruik van begeleidingsinstrumenten beperkt aanwezig zijn. Werkdruk, tijdsgebrek en rolonduidelijkheid vormen belemmeringen. Relationele ondersteuning, waardering van eerdere ervaring en een sterke schoolcultuur blijken doorslaggevend. Het onderzoek formuleert aanbevelingen voor scholen, opleidingen en beleid, met aandacht voor persoonlijke groei, werk-privébalans en structureel peerleren. Kwaliteitsvolle aanvangsbegeleiding vraagt maatwerk en verankering in de bredere schoolcontext.


Toon meer
Trefwoorden
BelgiëDocentenStudiebegeleidingCoaching
Thema
Opvoeding & Onderwijs
Organisatie	
Aeres Hogeschool

Afdeling	
Leren en Innoveren

Partner	Aeres Hogeschool Wageningen
	Artevelde Hogeschool
	
Datum	2026-06-10
Type	
Master

Taal	Nederlands",2026-06-10,https://www.hbo-kennisbank.nl/details/aereshogeschool:oai:www.greeni.nl:VBS:2:153466
Van Lineaire Ontwerpketens naar Circulaire Ontwerpteams,Martin Scherpenisse (Onderzoeker); Petra Ronda (Onderzoeker); Kim Barentsen (Onderzoeker); Anja Beaujean-Kuijsters (Lid Lectoraat); Sofie Torfs (Onderzoeker); Myron Koster (Onderzoeker); Lode Lefevre (Onderzoeker); Izhar Van Eenennaam (Onderzoeker); Emile Quanjel (Onderzoeker),"Van Lineaire Ontwerpketens naar Circulaire Ontwerpteams
Onderzoeksresultaten van vier cases: Circulair Paviljoen Hessenpoort, Appartementencomplex de Veemarkt, Biohub de Tippe en Behandelhuis De Dries
Dirk Vroegindeweij (Lid Lectoraat); Rik Berbé (Lid Lectoraat); Melanie de Vries (Lid Lectoraat); Marcus Popkema (Associate Lector); Joost van der Weide (Lector); Liesbeth Rijsdijk (Lector)
Download Bestand

Open access

Rechten:
CC-BY
Samenvatting

Dit onderzoek richt zich op de vraag hoe samenwerking in circulaire bouwprojecten tot stand komt in de vroege fasen van het bouwproces en welke rol mkb-bedrijven daarin spelen. Circulair bouwen wijkt fundamenteel af van het traditionele lineaire bouwproces, waarin grondstoffen worden gewonnen, verwerkt en na gebruik als afval eindigen. In een circulair bouwproces worden gebouwen ontworpen als onderdeel van een cyclisch systeem, waarin materialen en componenten meerdere levenscycli kunnen doorlopen. Dit vraagt om andere vormen van samenwerking, nieuwe rollen voor betrokken partijen en andere manieren van organiseren in de initiatie- en ontwerpfase van bouwprojecten.


Trefwoorden
circulair bouwensamenwerkingbouwprojectenontwerpketensontwerpteamscirculairbouwenmkb
Thema
Bouw & Logistiek
Organisatie	
Hogeschool Windesheim

Afdeling	
Domein Business, Media en Recht

Lectoraat	
Netwerken in een Circulaire Economie

	
Datum	2026-04-20
Type	
Rapport

Taal	Nederlands",2026-04-20,https://www.hbo-kennisbank.nl/details/sharekit_windesheim:oai:surfsharekit.nl:8359affc-4358-4032-8c7b-c5b69be6addb
Understanding shelters as children’s places : an analysis of the favourite places of 4–12 year olds,Lectoren en onderzoekers,"Understanding shelters as children’s places : an analysis of the favourite places of 4–12 year olds
Elise Peters (Lid Lectoraat); Hans Teerds; Nicole van den Bogerd
Bekijk Bestand/URL
Samenvatting

The number of families with children experiencing homelessness, seeking asylum, or fleeing domestic violence is rising globally. However, the design of family shelters often overlooks the specific needs of children. To foster innovation in creating child-friendly shelter environments, this study explores the characteristics of children’s favourite places within family shelters. Using a walk-along and photovoice inspired approach, children were asked to show, photograph and describe their favourite place in the shelter. Researchers analysed the photos and narratives to understand how the children perceive and articulate the significance of these places. Data were collected among N = 23 children (aged 4–12) residing in shelters for asylum-seeking families, homeless families, and women’s shelters for families in the Netherlands. The findings reveal three key characteristics of children’s favourite places in shelters: (1) possibilities for joint play, (2) an aesthetic, secluded and happy atmosphere, and (3) safety and security. The discussion offers shelter care workers, architects, and others responsible for sheltering families a set of challenges for organising, designing, and utilising shelters as children’s places.


Toon meer
Trefwoorden
Livabilityrefugeetraumahomeoutdoorhealth care setting
Thema
Opvoeding & Onderwijs
Organisatie	
Hogeschool Windesheim

Afdeling	
Domein Windesheim in Almere

Lectoraat	
Urban Care and Education

	
Gepubliceerd in	Children's Geographies Taylor & Francis Open Select publishing
Datum	2026-05-26
Type	
Artikel

DOI	10.1080/14733285.2025.2508722
Taal	Engels",2026-05-26,https://www.hbo-kennisbank.nl/details/sharekit_windesheim:oai:surfsharekit.nl:8f8a9dad-7256-4394-8baf-34e0257a6a5c
Een betere mentale gezondheid begint niet in de GGZ,"Bliekendaal, S. (Onderzoeker)","Een betere mentale gezondheid begint niet in de GGZ
Land, H. van 't (Lector); Bliekendaal, S. (Onderzoeker)
Download Bestand

Open access
Samenvatting

Opiniestuk in de Volkskrant. Een pleidooi dat mentale gezondheid niet primair in de zorg, in een wijkteam of via een interventie ontstaat, maar vooral in het dagelijks leven: in hoe we wonen, werken, bewegen en met elkaar samenleven.


Trefwoorden
Geestelijke gezondheidszorgPreventieve gezondheidszorgBeweging
Thema
Gezondheid
Organisatie	
Aeres Hogeschool

Lectoraat	
Gezonde Leefomgeving

	
Gepubliceerd in	de Volkskrant DPG Media
Datum	2026-06-24
Type	
Artikel

Taal	Nederlands",2026-06-24,https://www.hbo-kennisbank.nl/details/aereshogeschool:oai:www.greeni.nl:VBS:2:153967
Talentontwikkeling en kansengelijkheid in het hoger onderwijs,Lectoren en onderzoekers,De grootste kennisbank van het HBO,2026-12-31,https://www.hbo-kennisbank.nl/details/hanze_pure_rest:048af201-1afd-4fc1-8f67-2864a33139da
Contextual DNA samples in evaluations given activity level propositions,Lectoren en onderzoekers,"Contextual DNA samples in evaluations given activity level propositions
Goedhart, Yoram R. (Lectoraat Forensisch Onderzoek); de Koeijer, Jan A.; Aarts, Lambertus H.J.; de Poot, Christianne J. (Lectoraat Forensisch Onderzoek); Kokshoorn, Bas (Lectoraat Dynamiek Van Forensische Sporen)
Download Bestand

Open access
Samenvatting

Recent years have shown a growing effort in the evaluation of DNA given activity level propositions. Yet, its implementation remains challenging for forensic scientists due to the complexity of assessing relevant DNA TPPR mechanisms. One particular challenge is the sparsity of relevant experimental data in general and their applicability in the context of the case at hand. This difficulty is most apparent when considering the presence and quantity of prevalent and background DNA as the variables affecting them are highly specific and case-dependent, complicating their assessment based on literature data alone. It would hence be advantageous to assess prevalent and background DNA using information specific to the case, ideally gathered at the crime scene. We introduce the concept of contextual sampling: the targeted collection of additional samples from the surroundings of crime-related items to assign probabilities on prevalence and background based on case-relevant data. We identify several categories of contextual samples and demonstrate how these can inform sampling strategies and be integrated into Bayesian networks. Our findings show how contextual sampling allows for case-specific probability assignment, thereby reducing dependence on less-representative literature data. We also address practical considerations – including sample number, sampling location, and analytical strategy – and discuss limitations such as resource demands and uncertainties tied to small sample sizes. We conclude that contextual samples can be collected in anticipation of relevant alternative scenarios. This will provide forensic scientists with a valuable tool for casework, offering more nuanced and case-specific evaluations given activity level propositions. Further research could address operational protocols to optimize its implementation in forensic practice.


Toon meer
Thema
Algemeen
Organisatie	
Hogeschool van Amsterdam

	
Gepubliceerd in	Forensic Science International: Genetics Elsevier Ireland Ltd, Vol. 84
Datum	2026-06
Type	
Artikel

DOI	10.1016/j.fsigen.2026.103452
Taal	Engels",2026-06,https://www.hbo-kennisbank.nl/details/amsterdam_pure:oai:pure.hva.nl:publications%2F73372d1b-5cdc-4415-b018-c7ed6855eb0a
Verpleegkundig perspectief op persoonsgerichte zorg en ondersteuning,Lectoren en onderzoekers,"Verpleegkundig perspectief op persoonsgerichte zorg en ondersteuning
De cliëntreis als kompas in relationele, netwerkgerichte gezondheid
Myrna Pelgrum-Keurhorst (Lector)
Download Bestand

Open access

Rechten:
CC-BY
Samenvatting

De context waarin zorg en ondersteuning met oog voor de persoon wordt gegeven, is sterk veranderd. Er zijn steeds minder zorg- en welzijnsprofessionals in verhouding tot de toename en complexiteit van zorg- en ondersteuningsvragen. Het leidt onder meer tot een oplopende druk in de zorg en onder professionals, langere wachttijden en minder aandacht voor preventie. Dat vraagt om een organisatie van zorg en ondersteuning in de regio dat daarop antwoord geeft. Maar hoe doe je dat en hoe houd je zorg en ondersteuning persoonsgericht, zeker als het gaat om cliënten, patiënten en hun naasten in kwetsbare posities? Hoe lever je de zorg op persoonsniveau, en hoe innoveren en transformeren we de zorg samen met professionals die operationeel gericht zijn?

Carinova, Icare, IJsselheem, Isala en Windesheim werken in dit lectoraat samen om via praktijkgericht onderzoek invulling te geven aan deze vragen. In deze samenwerking komen praktijk, wetenschap en onderwijs samen: zorgorganisaties brengen de dagelijkse praktijk en vraagstukken in, terwijl Windesheim als kennisinstelling vanuit onderwijs en onderzoek bijdraagt aan kennisontwikkeling, -circulatie en het opleiden van toekomstige professionals.

Deze rede volgt een redeneerlijn van eigen ervaring naar theorie en verpleegkundige traditie, van een complexe context naar wenkend perspectief, en vervolgens naar de uitwerking daarvan in onze onderzoeksagenda en werkwijze van het lectoraat Persoonsgerichte Zorg en Ondersteuning.

Lectorale rede in verkorte vorm uitgesproken op donderdag 16 april 2026.


Toon meer
Trefwoorden
patiëntreissamenwerkingpersoonsgerichte zorglectorale redepersoonsgerichte zorg en ondersteuningIsalaijsselheemcarinovaicarezorgwelzijn
Thema
Gezondheid
Organisatie	
Hogeschool Windesheim

Afdeling	
Domein Gezondheid en Welzijn

Lectoraat	
Persoonsgerichte zorg en ondersteuning

	
Datum	2026-04-16
Type	
Boek

DOI	10.48544/2e6f66ec-2b2a-4b03-a0bc-f9ecc1a5e6be
Taal	Nederlands","De context waarin zorg en ondersteuning met oog voor de persoon wordt gegeven, is sterk veranderd. Er zijn steeds minder zorg- en welzijnsprofessionals in verhouding tot de toename en complexiteit van zorg- en ondersteuningsvragen. Het leidt onder meer tot een oplopende druk in de zorg en onder professionals, langere wachttijden en minder aandacht voor preventie. Dat vraagt om een organisatie van zorg en ondersteuning in de regio dat daarop antwoord geeft. Maar hoe doe je dat en hoe houd je zorg en ondersteuning persoonsgericht, zeker als het gaat om cliënten, patiënten en hun naasten in kwetsbare posities? Hoe lever je de zorg op persoonsniveau, en hoe innoveren en transformeren we de zorg samen met professionals die operationeel gericht zijn?

Carinova, Icare, IJsselheem, Isala en Windesheim werken in dit lectoraat samen om via praktijkgericht onderzoek invulling te geven aan deze vragen. In deze samenwerking komen praktijk, wetenschap en onderwijs samen: zorgorganisaties brengen de dagelijkse praktijk en vraagstukken in, terwijl Windesheim als kennisinstelling vanuit onderwijs en onderzoek bijdraagt aan kennisontwikkeling, -circulatie en het opleiden van toekomstige professionals.

Deze rede volgt een redeneerlijn van eigen ervaring naar theorie en verpleegkundige traditie, van een complexe context naar wenkend perspectief, en vervolgens naar de uitwerking daarvan in onze onderzoeksagenda en werkwijze van het lectoraat Persoonsgerichte Zorg en Ondersteuning.

Lectorale rede in verkorte vorm uitgesproken op donderdag 16 april 2026.",https://www.hbo-kennisbank.nl/details/sharekit_windesheim:oai:surfsharekit.nl:2e6f66ec-2b2a-4b03-a0bc-f9ecc1a5e6be
Van Markt naar Mens,Lectoren en onderzoekers,De grootste kennisbank van het HBO,2026-04-13,https://www.hbo-kennisbank.nl/details/hanzepure:oai:research.hanze.nl:publications%2F64a8800b-d9f7-4116-bcc5-bbecfa7aef99
"Boksen voor mentaal welzijn: Challenge, Change, Confidence",Dorine van Namen (Onderzoeker),"Boksen voor mentaal welzijn: Challenge, Change, Confidence
Dorine van Namen (Onderzoeker); Willemijn Langkamp (Lid Lectoraat)
Bekijk Bestand/URL
Samenvatting

Jongeren met ouders met psychische of verslavingsproblemen ervaren vaak stress, onvoorspelbaarheid van gedrag en soms agressie of verwaarlozing. Om hen te helpen, ontwikkelden onderzoekers samen met jongeren, bokstrainers en ggz-preventiewerkers het boksprogramma ‘Challenge, Change, Confidence’. Het programma werd als pilot uitgevoerd in Rotterdam, Amsterdam en Haarlem. Wat leverde dit op?


Trefwoorden
mentaal welbevindengezondheidsbevorderingKOPP/KOVBokstherapie
Thema
Mens & Maatschappij
Gezondheid
Organisatie	
Hogeschool Inholland

Afdeling	
Domein Gezondheid, Sport en Welzijn

Lectoraat	
Kracht van Sport

	
Gepubliceerd in	allesoversport.nl Kenniscentrum Sport & Bewegen, Utrecht
Datum	2026-11-05
Type	
Artikel

Taal	Nederlands",2026-11-05,https://www.hbo-kennisbank.nl/details/sharekit_inholland:oai:surfsharekit.nl:5407a5d1-8d87-45ca-a900-8fca81b27abd
Informatiebehoeften van transmannen over de logopedische behandeling bij genderdysfonie,Lectoren en onderzoekers,"Informatiebehoeften van transmannen over de logopedische behandeling bij genderdysfonie
Een kwalitatief onderzoek naar ervaringen en behoeften van transmannen
Josine Camminga (Student)
Download Bestand

Open access

Rechten:
CC-BY-NC
Samenvatting

Inleiding: Transmannen zijn onderbelicht in de wetenschappelijke literatuur, die zich voornamelijk richt op transvrouwen. Dit onderzoek richt zich op de ervaringen en behoeften van transmannen met betrekking tot de informatievoorziening over de logopedische behandeling bij genderdysfonie. Het onderzoek heeft als doel om de zichtbaarheid van de logopedische zorg binnen deze doelgroep te vergroten. Ook draagt het bij aan de profilering van het beroep logopedie, specifiek op dit relatief nieuwe vakgebied voor de logopedist.
Methode: Dit kwalitatieve onderzoek is uitgevoerd aan de hand van semigestructureerde interviews. De interviews zijn afgenomen via Microsoft Teams en hadden een duur van 30 tot 60 minuten. De interviews waren gericht op het verzamelen van de ervaringen, behoeften, wensen en suggesties van transmannen. De participanten zijn geworven via een combinatie van een sneeuwbalsteekproef en een gelegenheidssteekproef. De interviews zijn getranscribeerd en daarna geanalyseerd met Word en Excel.
Resultaten: Er deden vier transmannen mee aan dit onderzoek. De transmannen beschouwen de stem (in het bijzonder de toonhoogte) als kenmerkend voor hun genderidentiteit. Ze geven aan niet bekend te zijn met de logopedische behandeling bij genderdysfonie. Ze hebben niet actief informatie vergaard. Één transman is wel bekend met de logopedische behandeling en heeft op internet informatie vergaard. Hij ervaart de informatie onvolledig om een duidelijk beeld te kunnen vormen over de meerwaarde van logopedie bij genderdysfonie. De transmannen vinden de informatievoorziening onvoldoende. Ze hebben behoefte aan proactieve voorlichting van de psycholoog over de mogelijkheid van logopedie bij genderdysfonie. Ook hebben ze behoefte aan informatie over de inhoud, opbouw en de verwachte opbrengst van het logopedisch behandeltraject bij genderdysfonie. De transmannen hebben gevarieerde suggesties aangedragen voor het verbeteren van de informatievoorziening.
Discussie: Uit dit onderzoek kan voorzichtig worden geconcludeerd dat de logopedische behandeling bij genderdysfonie momenteel onvoldoende zichtbaar is voor transmannen. Dit beïnvloedt hun informatiebehoefte en draagt mogelijk bij aan onderbehandeling. Gezien de opzet en reikwijdte van dit onderzoek kunnen de resultaten niet worden gegeneraliseerd naar de gehele populatie transmannen. Zowel de NVLF als logopedisten wordt aanbevolen in hun informatievoorziening expliciet aandacht te besteden aan de inhoud, opbouw en opbrengst van het logopedisch behandeltraject. Vervolgonderzoek bij transmannen die actief informatie hebben vergaard over de logopedische behandeling bij genderdysfonie kan aanvullend inzicht bieden.


Toon meer
Trefwoorden
transmannenlogopedische behandeling genderdysfonieinformatiebehoeftentrans menvoice therapy for gender dysphoriainformation needs
Thema
Gezondheid
Organisatie	
Hanze

Opleiding	
Logopedie

Afdeling	
Cluster Gezondheid, Zorg & Vitaliteit

	
Datum	2026-04-23
Type	
Bachelor

Taal	Nederlands",2026-04-23,https://www.hbo-kennisbank.nl/details/sharekit_hhs:oai:surfsharekit.nl:001d4977-17c8-4183-b926-a7b84378b66f
